Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2010082675375,23-Aug-10,7/1/2010 12:08,LAX,Los Angeles International Airport ,Delta Air Lines  ,Property Damage,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010082675376,23-Aug-10,8/8/2010 0:00,PHX,Phoenix Sky Harbor International,USAir  ,Passenger Property Loss,Checked Baggage,"Books, Magazines & Other; Other",$26.72 ,Approve in Full
2010082775398,23-Aug-10,8/2/2010 0:00,DAL,Dallas Love Field,Southwest Airlines  ,Personal Injury,Checkpoint,Other,"$2,500.00 ",Settle
2010082775403,23-Aug-10,8/12/2010 11:00,SEA,Seattle-Tacoma International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras; Food & Drink; Household Items,$0.00 ,Deny
2010082875409,23-Aug-10,7/31/2010 0:00,CLT,Charlotte/Douglas International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Medical/Science; Other; Other,-,-
2010082875411,23-Aug-10,7/28/2010 0:00,SBN,South Bend Regional,Allegiant Air,Passenger Property Loss,Checked Baggage,Currency; Other,-,-
2010082875412,23-Aug-10,6/13/2010 0:00,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010082875415,23-Aug-10,8/12/2010 0:00,AUS,Austin-Bergstrom International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Travel Accessories,$6.97 ,Approve in Full
2010082875417,23-Aug-10,7/16/2010 0:00,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
2010082875418,23-Aug-10,7/12/2010 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Clothing; Clothing; Crafting & Hobby; Personal Electronics,$0.00 ,Deny
2010082875420,23-Aug-10,7/22/2010 0:00,MCO,Orlando International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Cosmetics & Grooming; Other,$0.00 ,Deny
2010082875423,23-Aug-10,6/18/2010 0:00,ORD,Chicago O'Hare International Airport,USAir  ,Passenger Property Loss,Checkpoint,Personal Electronics,$0.00 ,Deny
2010082875424,23-Aug-10,8/2/2010 0:00,IAD,Washington Dulles International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010082875426,23-Aug-10,7/31/2010 0:00,IND,Indianapolis International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Medical/Science,$125.00 ,Approve in Full
2010082875427,23-Aug-10,8/13/2010 15:50,ALB,Albany International,Southwest Airlines  ,Property Damage,Checkpoint,Clothing,$0.00 ,Deny
2010082875428,23-Aug-10,7/23/2010 0:00,F,Foreign airport,TACA airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010082875429,23-Aug-10,8/1/2010 14:30,LAS,McCarran International,Allegiant Air,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010082875430,23-Aug-10,5/18/2010 0:00,PHX,Phoenix Sky Harbor International,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010082875431,23-Aug-10,7/29/2010 9:10,EWR,Newark International Airport,Continental Airlines  ,Property Damage,Checkpoint,Personal Electronics,$106.47 ,Approve in Full
2010082875432,23-Aug-10,8/1/2010 7:30,IAD,Washington Dulles International,UAL  ,Property Damage,Checkpoint,Baggage/Cases/Purses,$0.00 ,Deny
2010082875433,23-Aug-10,7/2/2010 16:20,MCO,Orlando International Airport,UAL  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,$500.00 ,Settle
2010082875434,23-Aug-10,8/9/2010 0:00,MCO,Orlando International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Travel Accessories,$15.95 ,Approve in Full
2010082875435,23-Aug-10,8/13/2010 0:00,BOS,Boston (Logan) International Airport ,Air France,Property Damage,Checked Baggage,Travel Accessories,$45.39 ,Approve in Full
2010082875436,23-Aug-10,5/8/2010 0:00,SDF,Louisville International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses; Currency,$0.00 ,Deny
2010082875437,23-Aug-10,7/31/2010 20:15,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines  ,Passenger Property Loss,Checkpoint,Other,-,-
2010082875438,23-Aug-10,8/10/2010 0:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing; Jewelry & Watches,$0.00 ,Deny
2010082875439,23-Aug-10,8/11/2010 11:36,BUR,Bob Hope ,USAir  ,Property Damage,Checked Baggage,Home Decor,$125.00 ,Approve in Full
2010082875440,23-Aug-10,8/10/2010 7:00,RSW,Southwest Florida International,-,Property Damage,Checkpoint,Other,$152.00 ,Approve in Full
2010082875441,23-Aug-10,5/14/2010 0:00,CHO,Charlottesville / Albemarle,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010082875442,23-Aug-10,8/9/2010 0:00,MCO,Orlando International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010082875443,23-Aug-10,7/28/2010 0:00,SEA,Seattle-Tacoma International,Delta Air Lines  ,Property Damage,Checkpoint,Computer & Accessories,$59.99 ,Settle
2010083075463,23-Aug-10,7/29/2010 14:31,MCO,Orlando International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2010083075469,23-Aug-10,8/10/2010 0:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines  ,Property Damage,Checked Baggage,Other,$84.50 ,Settle
2010083075470,23-Aug-10,7/28/2010 20:00,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010083075471,23-Aug-10,8/4/2010 9:50,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Computer & Accessories,$0.00 ,Deny
2010083075473,23-Aug-10,8/10/2010 0:00,MCO,Orlando International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Other,$0.00 ,Deny
2010083075475,23-Aug-10,4/23/2010 0:00,MKE,General Mitchell International Airport,AirTran Airlines,Personal Injury,Checkpoint,-,-,-
2010083075478,23-Aug-10,6/16/2010 20:00,SJU,Luis Munoz Marin International,-,-,Checked Baggage,Cameras,-,-
2010083075479,23-Aug-10,7/12/2010 21:00,IAD,Washington Dulles International,UAL  ,Property Damage,Checkpoint,Personal Electronics,$257.05 ,Approve in Full
