Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2012102297903,10-Sep-12,8/26/2012 0:00,BOS,Boston (Logan) International Airport ,AirTran Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2012102297905,10-Sep-12,8/14/2012 0:00,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checked Baggage,Home Decor,$0.00 ,Deny
2012102297906,10-Sep-12,9/1/2012 0:00,MSY,New Orleans International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Personal Electronics,$0.00 ,Deny
2012102297907,10-Sep-12,8/31/2012 12:30,MSO,Missoula International,Allegiant Air,Passenger Property Loss,Checkpoint,-,$79.95 ,Approve in Full
2012102297908,10-Sep-12,8/16/2012 10:00,BIL,"Billings, MT",Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,-,-
2012102297909,10-Sep-12,9/8/2012 0:00,HNL,Honolulu International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2012102297910,10-Sep-12,7/5/2012 9:00,BLI,Bellingham International,Alaska Airlines  ,Passenger Property Loss,Checkpoint,Other,$160.19 ,Approve in Full
2012102297912,10-Sep-12,8/12/2012 0:00,MHT,Manchester Regional Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,-,-
2012102297914,10-Sep-12,8/5/2012 16:30,MIA,Miami International Airport,British Airways  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,$0.00 ,Deny
2012102297915,10-Sep-12,8/24/2012 11:34,EWR,Newark International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2012102397928,10-Sep-12,7/10/2012 8:05,ZZX,Non TSA Airport (motor vehicle),-,Motor Vehicle,Motor Vehicle,Other,-,-
2012102397931,10-Sep-12,8/5/2012 13:35,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2012102397935,10-Sep-12,4/10/2012 13:15,STL,Lambert St. Louis International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2012102397937,10-Sep-12,8/23/2012 12:16,SNA,John Wayne,AirTran Airlines,Passenger Property Loss,Checked Baggage,Medical/Science,$0.00 ,Deny
2012102398002,10-Sep-12,7/21/2012 0:00,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,$0.00 ,Deny
2012102398006,10-Sep-12,9/7/2012 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checkpoint,Computer & Accessories; Other,$873.82 ,Settle
2012102398009,10-Sep-12,9/2/2012 0:00,AMA,Rick Husband Amarillo International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Home Decor,$0.00 ,Deny
2012102398013,10-Sep-12,7/20/2012 0:00,PDX,Portland International,UAL  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,-
2012102398018,10-Sep-12,8/12/2012 0:00,SAN,San Diego International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,$0.00 ,Deny
2012102398019,10-Sep-12,8/2/2012 0:00,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$0.00 ,Deny
2012110598345,10-Sep-12,6/26/2012 0:00,MIA,Miami International Airport,-,Passenger Property Loss,Checkpoint,Jewelry & Watches,$0.00 ,Deny
2012071995589,11-Sep-12,6/8/2012 0:00,SAF,Santa Fe Municipal,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,$36.99 ,Approve in Full
2012091196708,11-Sep-12,3/1/2012 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,AirTran Airlines,Passenger Property Loss,Checkpoint,Computer & Accessories,$0.00 ,Deny
2012091196712,11-Sep-12,8/26/2012 13:40,FWA,Ft. Wayne Municipal- Baer Field,-,Property Damage,Checked Baggage,Other,$366.32 ,Approve in Full
2012091196716,11-Sep-12,6/20/2012 0:00,LAS,McCarran International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2012092096985,11-Sep-12,7/18/2012 0:00,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2012102297911,11-Sep-12,8/29/2012 12:00,SAT,San Antonio International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories; Clothing,$0.00 ,Deny
2012102297913,11-Sep-12,9/3/2012 18:00,PDX,Portland International,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Personal Electronics,$557.23 ,Settle
2012102397919,11-Sep-12,9/3/2012 21:00,BOS,Boston (Logan) International Airport ,-,Passenger Property Loss,Checkpoint,Personal Electronics,-,-
2012102397921,11-Sep-12,8/30/2012 11:00,SEA,Seattle-Tacoma International,-,-,Checkpoint,Medical/Science,$319.00 ,Approve in Full
2012102397922,11-Sep-12,9/9/2012 20:00,MIA,Miami International Airport,-,Passenger Property Loss,Checkpoint,Jewelry & Watches,$0.00 ,Deny
2012102397924,11-Sep-12,8/23/2012 0:00,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2012102397926,11-Sep-12,8/26/2012 10:15,IAH,Houston - George Bush Intercontinental Airport,-,Passenger Property Loss,Checkpoint,Computer & Accessories,$0.00 ,Deny
2012102397927,11-Sep-12,9/11/2011 20:45,IAD,Washington Dulles International,Southwest Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$249.99 ,Approve in Full
2012102397930,11-Sep-12,9/9/2012 22:00,SMF,Sacramento International Airport,Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items; Tools & Home Improvement Supplies,$0.00 ,Deny
2012102397932,11-Sep-12,8/10/2012 6:15,BWI,Baltimore/Washington Intl Thurgood Marshall,UAL  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,$0.00 ,Deny
2012102397933,11-Sep-12,8/24/2012 16:08,SDF,Louisville International,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,$95.94 ,Approve in Full
2012102397936,11-Sep-12,9/8/2012 14:00,IAD,Washington Dulles International,-,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses,$0.00 ,Deny
2012102397938,11-Sep-12,7/21/2012 0:00,BTV,"Burlington, VT",UAL  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
2012102397939,11-Sep-12,8/27/2012 0:00,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$79.00 ,Approve in Full
2012102397942,11-Sep-12,9/10/2012 16:30,LGA,LaGuardia ,-,-,Checkpoint,Other,$895.81 ,Settle
2012102397943,11-Sep-12,8/23/2012 0:00,MIA,Miami International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$139.99 ,Approve in Full
2012102397945,11-Sep-12,9/10/2012 18:00,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$561.79 ,Approve in Full
2012102397946,11-Sep-12,7/16/2012 10:30,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,$456.52 ,Settle
2012102397947,11-Sep-12,8/5/2012 17:00,LIH,Lihue Airport,Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$48.74 ,Approve in Full
2012102397949,11-Sep-12,8/23/2012 5:40,BWI,Baltimore/Washington Intl Thurgood Marshall,-,Passenger Property Loss,Checkpoint,Jewelry & Watches,$0.00 ,Deny
2012102397950,11-Sep-12,6/4/2012 17:40,CMH,Port Columbus International,UAL  ,Passenger Property Loss,Checked Baggage,Currency; Personal Electronics,$0.00 ,Deny
2012102397951,11-Sep-12,3/21/2012 12:30,LAX,Los Angeles International Airport ,Volaris Airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,$365.00 ,Settle
2012102397952,11-Sep-12,8/4/2012 15:00,PHL,Philadelphia International Airport,Lufthansa  ,Passenger Property Loss,Checked Baggage,Cameras,$140.97 ,Settle
2012102397953,11-Sep-12,8/22/2012 0:00,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Currency; Jewelry & Watches,$100.00 ,Settle
2012102397954,11-Sep-12,8/22/2012 0:00,HNL,Honolulu International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2012102397956,11-Sep-12,8/11/2012 17:45,BUF,Buffalo Niagara International,-,-,Checkpoint,Computer & Accessories,$880.27 ,Settle
2012102397958,11-Sep-12,7/30/2012 0:00,LAX,Los Angeles International Airport ,Emirates,Passenger Property Loss,Checked Baggage,Cameras,$672.49 ,Settle
2012102397960,11-Sep-12,9/1/2012 7:00,STL,Lambert St. Louis International,Southwest Airlines  ,Property Damage,Checked Baggage,Clothing,$90.00 ,Approve in Full
2012102397963,11-Sep-12,8/28/2012 14:30,JAX,Jacksonville International,American Airlines  ,Property Damage,Checkpoint,Personal Accessories,$0.00 ,Deny
2012102397964,11-Sep-12,8/18/2012 0:00,SNA,John Wayne,UAL  ,Property Damage,Checked Baggage,Cosmetics & Grooming,$191.99 ,Approve in Full
2012102397966,11-Sep-12,8/17/2012 7:20,BDL,Bradley International Airport,Southwest Airlines  ,Property Damage,Checkpoint,Personal Electronics,$699.00 ,Approve in Full
2012102397967,11-Sep-12,8/29/2012 0:00,MCO,Orlando International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2012102397974,11-Sep-12,8/12/2012 15:00,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$0.00 ,Deny
2012102397977,11-Sep-12,5/26/2012 0:00,LAX,Los Angeles International Airport ,USAir  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Other,$0.00 ,Deny
2012102397998,11-Sep-12,9/9/2012 21:00,EWR,Newark International Airport,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2012102398003,11-Sep-12,6/23/2012 17:35,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2012102398008,11-Sep-12,9/9/2012 10:00,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2012102398017,11-Sep-12,8/11/2012 9:00,SNA,John Wayne,Delta Air Lines  ,Property Damage,Checkpoint,Personal Electronics,$521.39 ,Settle
2012102398022,11-Sep-12,8/30/2012 0:00,CLE,Cleveland Hopkins International,American Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2012102398025,11-Sep-12,8/29/2012 0:00,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00 ,Deny
2012102398027,11-Sep-12,8/25/2012 0:00,PIT,Pittsburgh International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Household Items,$12.95 ,Approve in Full
2012102398028,11-Sep-12,8/28/2012 0:00,LAX,Los Angeles International Airport ,Hawaiian Airlines  ,Passenger Property Loss,Checkpoint,Clothing,$0.00 ,Deny
2012102498075,11-Sep-12,8/30/2012 0:00,DAL,Dallas Love Field,Southwest Airlines  ,Property Damage,Checked Baggage,Home Decor,$70.29 ,Settle
2012102498079,11-Sep-12,8/13/2012 0:00,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$5.99 ,Approve in Full
2012102498083,11-Sep-12,3/19/2011 0:00,IND,Indianapolis International,USAir  ,Property Damage,Checkpoint,Personal Accessories,$0.00 ,Deny
2012102498085,11-Sep-12,9/4/2012 0:00,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,$0.00 ,Deny
2012102498086,11-Sep-12,8/25/2012 0:00,SLC,Salt Lake City International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Household Items,$21.95 ,Settle
2012102498088,11-Sep-12,7/31/2012 0:00,PHX,Phoenix Sky Harbor International,USAir  ,Passenger Property Loss,Checkpoint,Audio/Video; Baggage/Cases/Purses; Cosmetics & Grooming; Cosmetics & Grooming; Other,$0.00 ,Deny
2012112198824,11-Sep-12,8/15/2012 0:00,JFK,John F. Kennedy International,American Airlines  ,Passenger Property Loss,Checked Baggage,-,$15.00 ,Approve in Full
2012082696198,12-Sep-12,6/12/2012 16:00,PFN,Panama City-Bay County International,Delta Air Lines  ,Property Damage,Checked Baggage,Food & Drink,$0.00 ,Deny
2012091296733,12-Sep-12,6/27/2012 19:58,LAX,Los Angeles International Airport ,Air China,Property Damage,Checked Baggage,-,$0.00 ,Deny
2012091296754,12-Sep-12,7/26/2012 0:00,OAK,Metropolitan Oakland International,USAir  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,$0.00 ,Deny
2012091396773,12-Sep-12,3/24/2012 20:00,LAS,McCarran International,-,Property Damage,Checked Baggage,Computer & Accessories,"$1,630.34 ",Approve in Full
2012100197287,12-Sep-12,8/23/2012 7:00,LGA,LaGuardia ,American Airlines  ,Property Damage,Checked Baggage,Other,"$1,797.50 ",Settle
2012102397957,12-Sep-12,5/7/2012 8:00,IAD,Washington Dulles International,KLM Royal Dutch Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,$74.50 ,Settle
